Drug,Protein
DB01254,9606.ENSP00000419060
DB01254,9606.ENSP00000353904
DB01254,9606.ENSP00000374323
DB01254,9606.ENSP00000445381
DB01254,9606.ENSP00000294066
DB01254,9606.ENSP00000368884
DB01254,9606.ENSP00000350195
DB01254,9606.ENSP00000437550
DB01254,9606.ENSP00000469863
DB01254,9606.ENSP00000265026
DB01254,9606.ENSP00000353846
DB01254,9606.ENSP00000419782
DB01254,9606.ENSP00000354558
DB01254,9606.ENSP00000371067
DB01254,9606.ENSP00000366563
DB01254,9606.ENSP00000300093
DB01254,9606.ENSP00000262848
DB01254,9606.ENSP00000311713
DB01254,9606.ENSP00000451828
DB01254,9606.ENSP00000275493
DB01254,9606.ENSP00000281092
DB07138,9606.ENSP00000337451
DB07138,9606.ENSP00000281092
DB07138,9606.ENSP00000363117
DB07138,9606.ENSP00000314499
DB07138,9606.ENSP00000477713
DB07138,9606.ENSP00000306124
DB07138,9606.ENSP00000382697
DB07138,9606.ENSP00000362680
DB07138,9606.ENSP00000361554
DB07138,9606.ENSP00000462468
DB08916,9606.ENSP00000495965
DB08916,9606.ENSP00000383053
DB08916,9606.ENSP00000385751
DB08916,9606.ENSP00000250896
DB08916,9606.ENSP00000334836
DB08916,9606.ENSP00000354006
DB08916,9606.ENSP00000296088
DB08916,9606.ENSP00000283109
DB08916,9606.ENSP00000282908
DB08916,9606.ENSP00000483424
DB08916,9606.ENSP00000222330
DB08916,9606.ENSP00000453858
DB08916,9606.ENSP00000355741
DB08916,9606.ENSP00000367686
DB08916,9606.ENSP00000478874
DB08916,9606.ENSP00000009105
DB08916,9606.ENSP00000166244
DB05928,9606.ENSP00000501150
DB05928,9606.ENSP00000360290
DB05928,9606.ENSP00000331602
DB05928,9606.ENSP00000359552
DB05928,9606.ENSP00000263125
DB05928,9606.ENSP00000264399
DB05928,9606.ENSP00000429744
DB05928,9606.ENSP00000361892
DB05928,9606.ENSP00000338127
DB05928,9606.ENSP00000263798
DB05928,9606.ENSP00000408002
DB05928,9606.ENSP00000449038
DB05928,9606.ENSP00000325748
DB05928,9606.ENSP00000387246
DB05928,9606.ENSP00000274289
DB05928,9606.ENSP00000376306
DB05928,9606.ENSP00000229812
DB05928,9606.ENSP00000424757
DB05928,9606.ENSP00000411099
DB05928,9606.ENSP00000369390
DB05928,9606.ENSP00000466363
DB05928,9606.ENSP00000348278
DB05928,9606.ENSP00000329967
DB05928,9606.ENSP00000379842
DB05928,9606.ENSP00000464030
DB05928,9606.ENSP00000357178
DB05928,9606.ENSP00000270861
DB05928,9606.ENSP00000484390
DB05928,9606.ENSP00000359119
DB05928,9606.ENSP00000362702
DB05928,9606.ENSP00000199389
DB05928,9606.ENSP00000262752
DB05928,9606.ENSP00000372035
DB05928,9606.ENSP00000270112
DB05928,9606.ENSP00000378914
DB05928,9606.ENSP00000358770
DB05928,9606.ENSP00000298048
DB05928,9606.ENSP00000261402
DB05928,9606.ENSP00000349458
DB05928,9606.ENSP00000251472
DB05928,9606.ENSP00000373684
DB05928,9606.ENSP00000399511
DB05928,9606.ENSP00000305976
DB05928,9606.ENSP00000295709
DB05928,9606.ENSP00000479889
DB05928,9606.ENSP00000310094
DB05928,9606.ENSP00000384625
DB05928,9606.ENSP00000376317
DB05928,9606.ENSP00000377867
DB05928,9606.ENSP00000495965
DB05928,9606.ENSP00000383053
DB05928,9606.ENSP00000385751
DB05928,9606.ENSP00000250896
DB05928,9606.ENSP00000334836
DB05928,9606.ENSP00000354006
DB05928,9606.ENSP00000296088
DB05928,9606.ENSP00000283109
DB05928,9606.ENSP00000282908
DB05928,9606.ENSP00000483424
DB05928,9606.ENSP00000222330
DB05928,9606.ENSP00000453858
DB05928,9606.ENSP00000355741
DB05928,9606.ENSP00000367686
DB05928,9606.ENSP00000478874
DB05928,9606.ENSP00000009105
DB05928,9606.ENSP00000166244
DB05928,9606.ENSP00000347942
DB05928,9606.ENSP00000332454
DB05928,9606.ENSP00000261716
DB05928,9606.ENSP00000475724
DB05928,9606.ENSP00000385571
DB05928,9606.ENSP00000292408
DB05928,9606.ENSP00000410294
DB05928,9606.ENSP00000393312
DB05928,9606.ENSP00000347032
DB05928,9606.ENSP00000315118
DB05928,9606.ENSP00000376647
DB05928,9606.ENSP00000262948
DB05928,9606.ENSP00000416750
DB05928,9606.ENSP00000499251
DB05928,9606.ENSP00000262891
DB05928,9606.ENSP00000369162
DB05928,9606.ENSP00000375081
DB05928,9606.ENSP00000371188
DB05928,9606.ENSP00000356070
DB05928,9606.ENSP00000238616
DB05928,9606.ENSP00000365162
DB05928,9606.ENSP00000451263
DB05928,9606.ENSP00000394484
DB08916,9606.ENSP00000394734
DB08916,9606.ENSP00000354207
DB08916,9606.ENSP00000215659
DB08916,9606.ENSP00000295408
DB08916,9606.ENSP00000302898
DB08916,9606.ENSP00000425824
DB08916,9606.ENSP00000316512
DB08916,9606.ENSP00000346148
DB08916,9606.ENSP00000379964
DB08916,9606.ENSP00000261211
DB08916,9606.ENSP00000356899
DB08916,9606.ENSP00000373574
DB08916,9606.ENSP00000483570
DB08916,9606.ENSP00000432511
DB06314,9606.ENSP00000394734
DB06314,9606.ENSP00000354207
DB06314,9606.ENSP00000215659
DB06314,9606.ENSP00000295408
DB06314,9606.ENSP00000302898
DB06314,9606.ENSP00000425824
DB06314,9606.ENSP00000316512
DB06314,9606.ENSP00000346148
DB06314,9606.ENSP00000379964
DB06314,9606.ENSP00000261211
DB06314,9606.ENSP00000356899
DB06314,9606.ENSP00000373574
DB06314,9606.ENSP00000483570
DB06314,9606.ENSP00000432511
DB05984,9606.ENSP00000166244
DB05984,9606.ENSP00000332454
DB05984,9606.ENSP00000316948
DB05984,9606.ENSP00000261716
DB05984,9606.ENSP00000475724
DB05984,9606.ENSP00000385571
DB05984,9606.ENSP00000292408
DB05984,9606.ENSP00000410294
DB05984,9606.ENSP00000393312
DB05984,9606.ENSP00000347032
DB05984,9606.ENSP00000315118
DB05984,9606.ENSP00000376647
DB05984,9606.ENSP00000262948
DB05984,9606.ENSP00000416750
DB05984,9606.ENSP00000499251
DB07138,9606.ENSP00000500582
DB07138,9606.ENSP00000398655
DB07138,9606.ENSP00000339916
DB07138,9606.ENSP00000363571
DB07138,9606.ENSP00000304226
DB07138,9606.ENSP00000368356
DB07138,9606.ENSP00000346484
DB07138,9606.ENSP00000351908
DB07138,9606.ENSP00000442460
DB07138,9606.ENSP00000176763
DB07138,9606.ENSP00000355237
DB07138,9606.ENSP00000277120
DB07138,9606.ENSP00000276052
DB07138,9606.ENSP00000257290
DB07138,9606.ENSP00000445440
DB07138,9606.ENSP00000501150
DB07138,9606.ENSP00000360290
DB07138,9606.ENSP00000331602
DB07138,9606.ENSP00000359552
DB07138,9606.ENSP00000263125
DB07138,9606.ENSP00000264399
DB07138,9606.ENSP00000429744
DB07138,9606.ENSP00000361892
DB07138,9606.ENSP00000338127
DB07138,9606.ENSP00000263798
DB07138,9606.ENSP00000408002
DB07138,9606.ENSP00000449038
DB07138,9606.ENSP00000325748
DB07138,9606.ENSP00000387246
DB07138,9606.ENSP00000274289
DB07138,9606.ENSP00000376306
DB07138,9606.ENSP00000229812
DB07138,9606.ENSP00000424757
DB07138,9606.ENSP00000411099
DB07138,9606.ENSP00000369390
DB07138,9606.ENSP00000466363
DB07138,9606.ENSP00000348278
DB07138,9606.ENSP00000329967
DB07138,9606.ENSP00000379842
DB07138,9606.ENSP00000464030
DB07138,9606.ENSP00000357178
DB07138,9606.ENSP00000270861
DB07138,9606.ENSP00000484390
DB07138,9606.ENSP00000359119
DB07138,9606.ENSP00000362702
DB07138,9606.ENSP00000199389
DB07138,9606.ENSP00000372035
DB07138,9606.ENSP00000270112
DB07138,9606.ENSP00000378914
DB07138,9606.ENSP00000358770
DB01254,9606.ENSP00000351908
DB01254,9606.ENSP00000442460
DB01254,9606.ENSP00000176763
DB01254,9606.ENSP00000355237
DB01254,9606.ENSP00000277120
DB01254,9606.ENSP00000276052
DB01254,9606.ENSP00000445440
DB01254,9606.ENSP00000501150
DB01254,9606.ENSP00000360290
DB01254,9606.ENSP00000331602
DB01254,9606.ENSP00000359552
DB01254,9606.ENSP00000263125
DB01254,9606.ENSP00000264399
DB01254,9606.ENSP00000429744
DB01254,9606.ENSP00000361892
DB01254,9606.ENSP00000338127
DB01254,9606.ENSP00000263798
DB01254,9606.ENSP00000408002
DB05928,9606.ENSP00000217188
DB05928,9606.ENSP00000370891
DB05928,9606.ENSP00000340373
DB05928,9606.ENSP00000356355
DB05928,9606.ENSP00000364361
DB05928,9606.ENSP00000215832
DB05928,9606.ENSP00000381531
DB05928,9606.ENSP00000394560
DB05928,9606.ENSP00000406472
DB05928,9606.ENSP00000264952
DB05928,9606.ENSP00000291823
DB05928,9606.ENSP00000178640
DB05928,9606.ENSP00000381070
DB05928,9606.ENSP00000369126
DB05928,9606.ENSP00000358335
DB06616,9606.ENSP00000316948
DB06616,9606.ENSP00000261716
DB06616,9606.ENSP00000475724
DB06616,9606.ENSP00000385571
DB06616,9606.ENSP00000292408
DB06616,9606.ENSP00000410294
DB06616,9606.ENSP00000393312
DB06616,9606.ENSP00000347032
DB06616,9606.ENSP00000315118
DB06616,9606.ENSP00000376647
DB06616,9606.ENSP00000262948
DB06616,9606.ENSP00000416750
DB06616,9606.ENSP00000499251
DB06616,9606.ENSP00000262891
DB06616,9606.ENSP00000369162
DB06616,9606.ENSP00000375081
DB06616,9606.ENSP00000371188
DB06616,9606.ENSP00000238616
DB06616,9606.ENSP00000365162
DB06616,9606.ENSP00000451263
DB06616,9606.ENSP00000394484
DB06616,9606.ENSP00000217188
DB06616,9606.ENSP00000340373
DB06616,9606.ENSP00000356355
DB06616,9606.ENSP00000364361
DB06616,9606.ENSP00000215832
DB08916,9606.ENSP00000380638
DB08916,9606.ENSP00000270162
DB08916,9606.ENSP00000298630
DB08916,9606.ENSP00000306678
DB08916,9606.ENSP00000480763
DB08916,9606.ENSP00000378288
DB08916,9606.ENSP00000262300
DB08916,9606.ENSP00000381129
DB08916,9606.ENSP00000347767
DB08916,9606.ENSP00000263800
DB08916,9606.ENSP00000264972
DB08916,9606.ENSP00000343325
DB08916,9606.ENSP00000380675
DB08916,9606.ENSP00000483467
DB08916,9606.ENSP00000356130
DB08916,9606.ENSP00000317272
DB08916,9606.ENSP00000455607
DB08916,9606.ENSP00000324856
DB08916,9606.ENSP00000369375
DB08916,9606.ENSP00000497069
DB08916,9606.ENSP00000345629
DB08916,9606.ENSP00000372023
DB08916,9606.ENSP00000371341
DB08916,9606.ENSP00000431418
DB08916,9606.ENSP00000274643
DB08916,9606.ENSP00000469413
DB08916,9606.ENSP00000343248
DB08916,9606.ENSP00000303887
DB08916,9606.ENSP00000465039
DB08916,9606.ENSP00000405004
DB08916,9606.ENSP00000340361
DB08916,9606.ENSP00000381535
DB08916,9606.ENSP00000265334
DB08916,9606.ENSP00000498083
DB08916,9606.ENSP00000357883
DB01254,9606.ENSP00000449038
DB01254,9606.ENSP00000325748
DB01254,9606.ENSP00000387246
DB01254,9606.ENSP00000274289
DB01254,9606.ENSP00000376306
DB01254,9606.ENSP00000229812
DB01254,9606.ENSP00000424757
DB01254,9606.ENSP00000411099
DB01254,9606.ENSP00000369390
DB01254,9606.ENSP00000466363
DB01254,9606.ENSP00000348278
DB01254,9606.ENSP00000329967
DB01254,9606.ENSP00000379842
DB01254,9606.ENSP00000464030
DB01254,9606.ENSP00000357178
DB01254,9606.ENSP00000270861
DB01254,9606.ENSP00000484390
DB01254,9606.ENSP00000359119
DB01254,9606.ENSP00000362702
DB01254,9606.ENSP00000199389
DB01254,9606.ENSP00000372035
DB01254,9606.ENSP00000270112
DB01254,9606.ENSP00000378914
DB01254,9606.ENSP00000358770
DB01254,9606.ENSP00000298048
DB00398,9606.ENSP00000363117
DB00398,9606.ENSP00000339916
DB00398,9606.ENSP00000304226
DB01254,9606.ENSP00000306124
DB01254,9606.ENSP00000382697
DB01254,9606.ENSP00000361554
DB01254,9606.ENSP00000500582
DB01254,9606.ENSP00000398655
DB01254,9606.ENSP00000339916
DB01254,9606.ENSP00000363571
DB01254,9606.ENSP00000304226
DB01254,9606.ENSP00000368356
DB01254,9606.ENSP00000346484
DB05969,9606.ENSP00000383053
DB05969,9606.ENSP00000385751
DB05969,9606.ENSP00000250896
DB05969,9606.ENSP00000334836
DB00398,9606.ENSP00000408002
DB00398,9606.ENSP00000449038
DB00398,9606.ENSP00000466363
DB00398,9606.ENSP00000379842
DB00398,9606.ENSP00000199389
DB06626,9606.ENSP00000442656
DB06626,9606.ENSP00000373700
DB06626,9606.ENSP00000361107
DB06626,9606.ENSP00000220003
DB11958,9606.ENSP00000354558
DB11958,9606.ENSP00000371067
DB11958,9606.ENSP00000366563
DB11958,9606.ENSP00000300093
DB11958,9606.ENSP00000262848
DB11958,9606.ENSP00000311713
DB11958,9606.ENSP00000361423
DB11958,9606.ENSP00000427562
DB11958,9606.ENSP00000451828
DB11958,9606.ENSP00000286301
DB01259,9606.ENSP00000274289
DB01259,9606.ENSP00000376306
DB01259,9606.ENSP00000229812
DB01259,9606.ENSP00000424757
DB01259,9606.ENSP00000411099
DB01259,9606.ENSP00000369390
DB01259,9606.ENSP00000466363
DB01259,9606.ENSP00000348278
DB01259,9606.ENSP00000329967
DB01259,9606.ENSP00000379842
DB01259,9606.ENSP00000464030
DB01259,9606.ENSP00000357178
DB01259,9606.ENSP00000270861
DB01259,9606.ENSP00000484390
DB01259,9606.ENSP00000359119
DB01259,9606.ENSP00000362702
DB01259,9606.ENSP00000199389
DB01259,9606.ENSP00000372035
DB01259,9606.ENSP00000270112
DB01259,9606.ENSP00000378914
DB01259,9606.ENSP00000358770
DB01259,9606.ENSP00000298048
DB01259,9606.ENSP00000261402
DB01259,9606.ENSP00000349458
DB01259,9606.ENSP00000251472
DB01259,9606.ENSP00000373684
DB01259,9606.ENSP00000399511
DB01259,9606.ENSP00000305976
DB01259,9606.ENSP00000295709
DB01259,9606.ENSP00000479889
DB01259,9606.ENSP00000310094
DB01259,9606.ENSP00000384625
DB01259,9606.ENSP00000376317
DB01259,9606.ENSP00000377867
DB01259,9606.ENSP00000495965
DB01259,9606.ENSP00000383053
DB01259,9606.ENSP00000385751
DB01259,9606.ENSP00000250896
DB01259,9606.ENSP00000334836
DB01259,9606.ENSP00000354006
DB01259,9606.ENSP00000296088
DB01259,9606.ENSP00000283109
DB01259,9606.ENSP00000282908
DB01259,9606.ENSP00000483424
DB01259,9606.ENSP00000222330
DB01259,9606.ENSP00000453858
DB01259,9606.ENSP00000355741
DB01259,9606.ENSP00000367686
DB01259,9606.ENSP00000478874
DB01259,9606.ENSP00000009105
DB01259,9606.ENSP00000166244
DB01259,9606.ENSP00000332454
DB01259,9606.ENSP00000316948
DB01259,9606.ENSP00000261716
DB01259,9606.ENSP00000475724
DB01259,9606.ENSP00000385571
DB01259,9606.ENSP00000292408
DB01259,9606.ENSP00000410294
DB01259,9606.ENSP00000393312
DB01259,9606.ENSP00000347032
DB01259,9606.ENSP00000315118
DB01259,9606.ENSP00000376647
DB01259,9606.ENSP00000262948
DB01259,9606.ENSP00000416750
DB01259,9606.ENSP00000499251
DB01259,9606.ENSP00000262891
DB01259,9606.ENSP00000369162
DB01259,9606.ENSP00000375081
DB01259,9606.ENSP00000371188
DB01259,9606.ENSP00000356070
DB01259,9606.ENSP00000238616
DB01259,9606.ENSP00000365162
DB01259,9606.ENSP00000451263
DB01259,9606.ENSP00000394484
DB01259,9606.ENSP00000217188
DB01259,9606.ENSP00000370891
DB01259,9606.ENSP00000340373
DB01259,9606.ENSP00000356355
DB01259,9606.ENSP00000364361
DB01259,9606.ENSP00000215832
DB01259,9606.ENSP00000381531
DB01259,9606.ENSP00000394560
DB01259,9606.ENSP00000406472
DB01259,9606.ENSP00000264952
DB01259,9606.ENSP00000291823
DB01259,9606.ENSP00000178640
DB01259,9606.ENSP00000381070
DB01259,9606.ENSP00000369126
DB01259,9606.ENSP00000358335
DB01259,9606.ENSP00000343658
DB01259,9606.ENSP00000372857
DB01259,9606.ENSP00000407442
DB01254,9606.ENSP00000261402
DB01254,9606.ENSP00000349458
DB01254,9606.ENSP00000251472
DB01254,9606.ENSP00000373684
DB01254,9606.ENSP00000399511
DB01254,9606.ENSP00000295709
DB08916,9606.ENSP00000332454
DB08916,9606.ENSP00000316948
DB08916,9606.ENSP00000261716
DB08916,9606.ENSP00000475724
DB08916,9606.ENSP00000385571
DB08916,9606.ENSP00000292408
DB08916,9606.ENSP00000410294
DB08916,9606.ENSP00000393312
DB08916,9606.ENSP00000347032
DB08916,9606.ENSP00000315118
DB08916,9606.ENSP00000376647
DB08916,9606.ENSP00000262948
DB08916,9606.ENSP00000416750
DB08916,9606.ENSP00000499251
DB08916,9606.ENSP00000262891
DB08916,9606.ENSP00000369162
DB08916,9606.ENSP00000375081
DB08916,9606.ENSP00000371188
DB08916,9606.ENSP00000356070
DB08916,9606.ENSP00000238616
DB08916,9606.ENSP00000365162
DB08916,9606.ENSP00000451263
DB08916,9606.ENSP00000394484
DB08916,9606.ENSP00000217188
DB08916,9606.ENSP00000370891
DB08916,9606.ENSP00000340373
DB08916,9606.ENSP00000356355
DB08916,9606.ENSP00000364361
DB08916,9606.ENSP00000381531
DB08916,9606.ENSP00000394560
DB08916,9606.ENSP00000406472
DB08916,9606.ENSP00000264952
DB08916,9606.ENSP00000291823
DB08916,9606.ENSP00000178640
DB08916,9606.ENSP00000381070
DB08916,9606.ENSP00000369126
DB08916,9606.ENSP00000358335
DB08916,9606.ENSP00000343658
DB08916,9606.ENSP00000372857
DB08916,9606.ENSP00000407442
DB08916,9606.ENSP00000346671
DB08916,9606.ENSP00000341189
DB05984,9606.ENSP00000381129
DB05984,9606.ENSP00000347767
DB05984,9606.ENSP00000263800
DB05984,9606.ENSP00000264972
DB05984,9606.ENSP00000343325
DB05984,9606.ENSP00000380675
DB05984,9606.ENSP00000483467
DB05984,9606.ENSP00000356130
DB05424,9606.ENSP00000394734
DB05424,9606.ENSP00000354207
DB05424,9606.ENSP00000215659
DB05424,9606.ENSP00000295408
DB05424,9606.ENSP00000425824
DB05424,9606.ENSP00000316512
DB05424,9606.ENSP00000346148
DB11958,9606.ENSP00000275493
DB11958,9606.ENSP00000337451
DB11958,9606.ENSP00000281092
DB11958,9606.ENSP00000363117
DB11958,9606.ENSP00000314499
DB11958,9606.ENSP00000477713
DB11958,9606.ENSP00000306124
DB01259,9606.ENSP00000346671
DB01259,9606.ENSP00000420849
DB01259,9606.ENSP00000341189
DB01259,9606.ENSP00000380638
DB01259,9606.ENSP00000270162
DB01259,9606.ENSP00000298630
DB01259,9606.ENSP00000306678
DB01259,9606.ENSP00000480763
DB01259,9606.ENSP00000378288
DB01259,9606.ENSP00000262300
DB01259,9606.ENSP00000381129
DB01259,9606.ENSP00000347767
DB01259,9606.ENSP00000263800
DB01259,9606.ENSP00000264972
DB01259,9606.ENSP00000343325
DB01259,9606.ENSP00000380675
DB01259,9606.ENSP00000483467
DB01259,9606.ENSP00000356130
DB06486,9606.ENSP00000394734
DB06486,9606.ENSP00000354207
DB06486,9606.ENSP00000215659
DB06486,9606.ENSP00000295408
DB06486,9606.ENSP00000302898
DB06486,9606.ENSP00000425824
DB06486,9606.ENSP00000316512
DB06486,9606.ENSP00000346148
DB06486,9606.ENSP00000379964
DB06486,9606.ENSP00000261211
DB06486,9606.ENSP00000356899
DB06486,9606.ENSP00000373574
DB06486,9606.ENSP00000483570
DB06486,9606.ENSP00000432511
DB07138,9606.ENSP00000362931
DB07138,9606.ENSP00000233027
DB07138,9606.ENSP00000369325
DB07138,9606.ENSP00000225577
DB07138,9606.ENSP00000364898
DB07138,9606.ENSP00000370912
DB07138,9606.ENSP00000351905
DB07138,9606.ENSP00000358813
DB07138,9606.ENSP00000264316
DB07138,9606.ENSP00000402084
DB07138,9606.ENSP00000482548
DB07138,9606.ENSP00000324560
DB05984,9606.ENSP00000262891
DB05984,9606.ENSP00000369162
DB05984,9606.ENSP00000375081
DB05984,9606.ENSP00000371188
DB05984,9606.ENSP00000356070
DB05984,9606.ENSP00000238616
DB05984,9606.ENSP00000365162
DB05984,9606.ENSP00000451263
DB05984,9606.ENSP00000394484
DB05984,9606.ENSP00000217188
DB05984,9606.ENSP00000370891
DB05984,9606.ENSP00000340373
DB05984,9606.ENSP00000356355
DB05984,9606.ENSP00000364361
DB05984,9606.ENSP00000215832
DB05984,9606.ENSP00000381531
DB05984,9606.ENSP00000394560
DB05984,9606.ENSP00000406472
DB05984,9606.ENSP00000264952
DB05984,9606.ENSP00000291823
DB05984,9606.ENSP00000178640
DB05984,9606.ENSP00000381070
DB05984,9606.ENSP00000369126
DB05984,9606.ENSP00000358335
DB05984,9606.ENSP00000343658
DB05984,9606.ENSP00000372857
DB05984,9606.ENSP00000407442
DB05984,9606.ENSP00000346671
DB05984,9606.ENSP00000420849
DB05984,9606.ENSP00000341189
DB05984,9606.ENSP00000380638
DB05984,9606.ENSP00000270162
DB05984,9606.ENSP00000298630
DB05984,9606.ENSP00000306678
DB05984,9606.ENSP00000480763
DB05984,9606.ENSP00000378288
DB05984,9606.ENSP00000262300
DB05552,9606.ENSP00000295709
DB05552,9606.ENSP00000479889
DB05552,9606.ENSP00000310094
DB05552,9606.ENSP00000384625
DB05552,9606.ENSP00000376317
DB05552,9606.ENSP00000377867
DB05552,9606.ENSP00000495965
DB05552,9606.ENSP00000383053
DB05552,9606.ENSP00000385751
DB05552,9606.ENSP00000250896
DB05552,9606.ENSP00000334836
DB05552,9606.ENSP00000354006
DB05552,9606.ENSP00000296088
DB05552,9606.ENSP00000283109
DB05552,9606.ENSP00000282908
DB05552,9606.ENSP00000483424
DB05552,9606.ENSP00000222330
DB05552,9606.ENSP00000453858
DB05552,9606.ENSP00000355741
DB05552,9606.ENSP00000367686
DB05552,9606.ENSP00000478874
DB05552,9606.ENSP00000009105
DB05552,9606.ENSP00000166244
DB05552,9606.ENSP00000332454
DB05552,9606.ENSP00000316948
DB05552,9606.ENSP00000261716
DB05552,9606.ENSP00000475724
DB05552,9606.ENSP00000385571
DB05552,9606.ENSP00000292408
DB05552,9606.ENSP00000410294
DB05552,9606.ENSP00000393312
DB05552,9606.ENSP00000347032
DB05552,9606.ENSP00000315118
DB05552,9606.ENSP00000376647
DB05552,9606.ENSP00000262948
DB05552,9606.ENSP00000416750
DB05552,9606.ENSP00000499251
DB05552,9606.ENSP00000262891
DB05552,9606.ENSP00000369162
DB05552,9606.ENSP00000375081
DB05552,9606.ENSP00000371188
DB05552,9606.ENSP00000356070
DB05552,9606.ENSP00000238616
DB05552,9606.ENSP00000365162
DB05552,9606.ENSP00000451263
DB05552,9606.ENSP00000394484
DB05552,9606.ENSP00000217188
DB05552,9606.ENSP00000370891
DB05552,9606.ENSP00000340373
DB05552,9606.ENSP00000356355
DB05552,9606.ENSP00000364361
DB05552,9606.ENSP00000215832
DB05552,9606.ENSP00000381531
DB05552,9606.ENSP00000394560
DB05552,9606.ENSP00000406472
DB05552,9606.ENSP00000264952
DB05552,9606.ENSP00000291823
DB05552,9606.ENSP00000178640
DB05552,9606.ENSP00000381070
DB05552,9606.ENSP00000369126
DB05552,9606.ENSP00000358335
DB05552,9606.ENSP00000343658
DB05552,9606.ENSP00000372857
DB05552,9606.ENSP00000407442
DB05552,9606.ENSP00000346671
DB05552,9606.ENSP00000420849
DB05552,9606.ENSP00000341189
DB05552,9606.ENSP00000380638
DB05552,9606.ENSP00000270162
DB05552,9606.ENSP00000298630
DB05552,9606.ENSP00000306678
DB05552,9606.ENSP00000480763
DB05552,9606.ENSP00000378288
DB05552,9606.ENSP00000262300
DB05552,9606.ENSP00000381129
DB05552,9606.ENSP00000347767
DB05552,9606.ENSP00000263800
DB05552,9606.ENSP00000264972
DB05552,9606.ENSP00000343325
DB05552,9606.ENSP00000380675
DB05552,9606.ENSP00000483467
DB05552,9606.ENSP00000356130
DB12500,9606.ENSP00000394734
DB12500,9606.ENSP00000354207
DB12500,9606.ENSP00000215659
DB12500,9606.ENSP00000295408
DB12500,9606.ENSP00000302898
DB12500,9606.ENSP00000425824
DB12500,9606.ENSP00000316512
DB12500,9606.ENSP00000346148
DB12500,9606.ENSP00000261211
DB12500,9606.ENSP00000356899
DB12500,9606.ENSP00000373574
DB12500,9606.ENSP00000483570
DB12500,9606.ENSP00000257904
DB12500,9606.ENSP00000339824
DB12500,9606.ENSP00000432511
DB12500,9606.ENSP00000317272
DB05424,9606.ENSP00000379964
DB05424,9606.ENSP00000261211
DB05424,9606.ENSP00000356899
DB05424,9606.ENSP00000373574
DB05424,9606.ENSP00000483570
DB05424,9606.ENSP00000432511
DB05424,9606.ENSP00000288135
DB05424,9606.ENSP00000317272
DB05424,9606.ENSP00000455607
DB05424,9606.ENSP00000324856
DB05424,9606.ENSP00000369375
DB05424,9606.ENSP00000497069
DB05424,9606.ENSP00000345629
DB05424,9606.ENSP00000353824
DB05424,9606.ENSP00000372023
DB05424,9606.ENSP00000269571
DB05424,9606.ENSP00000371341
DB05424,9606.ENSP00000431418
DB05424,9606.ENSP00000274643
DB05424,9606.ENSP00000469413
DB05424,9606.ENSP00000343248
DB05424,9606.ENSP00000303887
DB05424,9606.ENSP00000465039
DB05424,9606.ENSP00000400312
DB05424,9606.ENSP00000405004
DB05424,9606.ENSP00000340361
DB05424,9606.ENSP00000381535
DB05424,9606.ENSP00000265334
DB05424,9606.ENSP00000498083
DB05424,9606.ENSP00000357883
DB05424,9606.ENSP00000401907
DB05424,9606.ENSP00000363708
DB05424,9606.ENSP00000410561
DB05424,9606.ENSP00000362361
DB03044,9606.ENSP00000394734
DB03044,9606.ENSP00000354207
DB03044,9606.ENSP00000295408
DB03044,9606.ENSP00000302898
DB03044,9606.ENSP00000425824
DB03044,9606.ENSP00000316512
DB03044,9606.ENSP00000346148
DB03044,9606.ENSP00000379964
DB03044,9606.ENSP00000261211
DB03044,9606.ENSP00000373574
DB03044,9606.ENSP00000483570
DB01259,9606.ENSP00000375892
DB01259,9606.ENSP00000301178
DB01259,9606.ENSP00000259089
DB01259,9606.ENSP00000350224
DB01259,9606.ENSP00000282356
DB01259,9606.ENSP00000266970
DB01259,9606.ENSP00000256443
DB01259,9606.ENSP00000261798
DB01259,9606.ENSP00000380044
DB01259,9606.ENSP00000217244
DB01259,9606.ENSP00000262506
DB01259,9606.ENSP00000427552
DB01259,9606.ENSP00000267101
DB01259,9606.ENSP00000331504
DB01259,9606.ENSP00000282397
DB01259,9606.ENSP00000476145
DB01259,9606.ENSP00000324806
DB01259,9606.ENSP00000365012
DB01259,9606.ENSP00000263923
DB01259,9606.ENSP00000336740
DB12745,9606.ENSP00000394734
DB12745,9606.ENSP00000354207
DB12745,9606.ENSP00000215659
DB12745,9606.ENSP00000295408
DB12745,9606.ENSP00000425824
DB12745,9606.ENSP00000316512
DB12745,9606.ENSP00000346148
DB12745,9606.ENSP00000379964
DB12745,9606.ENSP00000261211
DB12745,9606.ENSP00000356899
DB12745,9606.ENSP00000373574
DB12745,9606.ENSP00000483570
DB07138,9606.ENSP00000365730
DB07138,9606.ENSP00000342105
DB07138,9606.ENSP00000216911
DB07138,9606.ENSP00000355731
DB07138,9606.ENSP00000263881
DB07138,9606.ENSP00000256460
DB07138,9606.ENSP00000449381
DB07138,9606.ENSP00000494788
DB07138,9606.ENSP00000181839
DB07138,9606.ENSP00000259808
DB07138,9606.ENSP00000220751
DB07138,9606.ENSP00000341874
DB07138,9606.ENSP00000337194
DB07138,9606.ENSP00000306340
DB07138,9606.ENSP00000371614
DB07138,9606.ENSP00000459799
DB07138,9606.ENSP00000378505
DB07138,9606.ENSP00000357345
DB07138,9606.ENSP00000361275
DB07138,9606.ENSP00000263955
